MTU (CET/CEST),Area,Resolution,Price,Currency
              05/01/2022 02:00 - 05/01/2022 03:00,BZN|CH,PT60M,106.61,EUR
              05/01/2022 03:00 - 05/01/2022 04:00,BZN|CH,PT60M,92.61,EUR
              05/01/2022 04:00 - 05/01/2022 05:00,BZN|CH,PT60M,91.26,EUR
              05/01/2022 05:00 - 05/01/2022 06:00,BZN|CH,PT60M,105.97,EUR
              05/01/2022 06:00 - 05/01/2022 07:00,BZN|CH,PT60M,159.64,EUR
              05/01/2022 07:00 - 05/01/2022 08:00,BZN|CH,PT60M,194.54,EUR
              05/01/2022 08:00 - 05/01/2022 09:00,BZN|CH,PT60M,206.37,EUR
              05/01/2022 09:00 - 05/01/2022 10:00,BZN|CH,PT60M,205.44,EUR
              05/01/2022 10:00 - 05/01/2022 11:00,BZN|CH,PT60M,203.82,EUR
              05/01/2022 11:00 - 05/01/2022 12:00,BZN|CH,PT60M,201.63,EUR
              05/01/2022 12:00 - 05/01/2022 13:00,BZN|CH,PT60M,194.50,EUR
              05/01/2022 13:00 - 05/01/2022 14:00,BZN|CH,PT60M,192.41,EUR
              05/01/2022 14:00 - 05/01/2022 15:00,BZN|CH,PT60M,192.94,EUR
              05/01/2022 15:00 - 05/01/2022 16:00,BZN|CH,PT60M,195.36,EUR
              05/01/2022 16:00 - 05/01/2022 17:00,BZN|CH,PT60M,199.46,EUR
              05/01/2022 17:00 - 05/01/2022 18:00,BZN|CH,PT60M,226.14,EUR
              05/01/2022 18:00 - 05/01/2022 19:00,BZN|CH,PT60M,242.29,EUR
              05/01/2022 19:00 - 05/01/2022 20:00,BZN|CH,PT60M,237.67,EUR
              05/01/2022 20:00 - 05/01/2022 21:00,BZN|CH,PT60M,206.79,EUR
              05/01/2022 21:00 - 05/01/2022 22:00,BZN|CH,PT60M,193.23,EUR
              05/01/2022 22:00 - 05/01/2022 23:00,BZN|CH,PT60M,189.35,EUR
              05/01/2022 23:00 - 06/01/2022 00:00,BZN|CH,PT60M,180.55,EUR
              06/01/2022 00:00 - 06/01/2022 01:00,BZN|CH,PT60M,195.42,EUR
              06/01/2022 01:00 - 06/01/2022 02:00,BZN|CH,PT60M,177.06,EUR
              06/01/2022 02:00 - 06/01/2022 03:00,BZN|CH,PT60M,170.93,EUR
              06/01/2022 03:00 - 06/01/2022 04:00,BZN|CH,PT60M,155.39,EUR
              06/01/2022 04:00 - 06/01/2022 05:00,BZN|CH,PT60M,155.83,EUR
              06/01/2022 05:00 - 06/01/2022 06:00,BZN|CH,PT60M,166.57,EUR
              06/01/2022 06:00 - 06/01/2022 07:00,BZN|CH,PT60M,197.53,EUR
              06/01/2022 07:00 - 06/01/2022 08:00,BZN|CH,PT60M,236.80,EUR
              06/01/2022 08:00 - 06/01/2022 09:00,BZN|CH,PT60M,249.10,EUR
              06/01/2022 09:00 - 06/01/2022 10:00,BZN|CH,PT60M,247.19,EUR
              06/01/2022 10:00 - 06/01/2022 11:00,BZN|CH,PT60M,250.47,EUR
              06/01/2022 11:00 - 06/01/2022 12:00,BZN|CH,PT60M,241.05,EUR
              06/01/2022 12:00 - 06/01/2022 13:00,BZN|CH,PT60M,238.27,EUR
              06/01/2022 13:00 - 06/01/2022 14:00,BZN|CH,PT60M,239.20,EUR
              06/01/2022 14:00 - 06/01/2022 15:00,BZN|CH,PT60M,234.08,EUR
              06/01/2022 15:00 - 06/01/2022 16:00,BZN|CH,PT60M,239.49,EUR
              06/01/2022 16:00 - 06/01/2022 17:00,BZN|CH,PT60M,245.98,EUR
              06/01/2022 17:00 - 06/01/2022 18:00,BZN|CH,PT60M,266.28,EUR
              06/01/2022 18:00 - 06/01/2022 19:00,BZN|CH,PT60M,265.48,EUR
              06/01/2022 19:00 - 06/01/2022 20:00,BZN|CH,PT60M,250.34,EUR
              06/01/2022 20:00 - 06/01/2022 21:00,BZN|CH,PT60M,241.79,EUR
              06/01/2022 21:00 - 06/01/2022 22:00,BZN|CH,PT60M,221.43,EUR
              06/01/2022 22:00 - 06/01/2022 23:00,BZN|CH,PT60M,209.25,EUR
              06/01/2022 23:00 - 07/01/2022 00:00,BZN|CH,PT60M,198.12,EUR
              07/01/2022 00:00 - 07/01/2022 01:00,BZN|CH,PT60M,202.49,EUR
              07/01/2022 01:00 - 07/01/2022 02:00,BZN|CH,PT60M,197.50,EUR
              07/01/2022 02:00 - 07/01/2022 03:00,BZN|CH,PT60M,189.14,EUR
              07/01/2022 03:00 - 07/01/2022 04:00,BZN|CH,PT60M,175.92,EUR
              07/01/2022 04:00 - 07/01/2022 05:00,BZN|CH,PT60M,170.53,EUR
              07/01/2022 05:00 - 07/01/2022 06:00,BZN|CH,PT60M,182.93,EUR
              07/01/2022 06:00 - 07/01/2022 07:00,BZN|CH,PT60M,207.97,EUR
              07/01/2022 07:00 - 07/01/2022 08:00,BZN|CH,PT60M,247.17,EUR
              07/01/2022 08:00 - 07/01/2022 09:00,BZN|CH,PT60M,266.58,EUR
              07/01/2022 09:00 - 07/01/2022 10:00,BZN|CH,PT60M,265.83,EUR
              07/01/2022 10:00 - 07/01/2022 11:00,BZN|CH,PT60M,256.87,EUR
              07/01/2022 11:00 - 07/01/2022 12:00,BZN|CH,PT60M,245.52,EUR
              07/01/2022 12:00 - 07/01/2022 13:00,BZN|CH,PT60M,241.58,EUR
              07/01/2022 13:00 - 07/01/2022 14:00,BZN|CH,PT60M,232.38,EUR
              07/01/2022 14:00 - 07/01/2022 15:00,BZN|CH,PT60M,230.92,EUR
              07/01/2022 15:00 - 07/01/2022 16:00,BZN|CH,PT60M,235.29,EUR
              07/01/2022 16:00 - 07/01/2022 17:00,BZN|CH,PT60M,246.03,EUR
              07/01/2022 17:00 - 07/01/2022 18:00,BZN|CH,PT60M,258.90,EUR
              07/01/2022 18:00 - 07/01/2022 19:00,BZN|CH,PT60M,266.56,EUR
              07/01/2022 19:00 - 07/01/2022 20:00,BZN|CH,PT60M,256.67,EUR
              07/01/2022 20:00 - 07/01/2022 21:00,BZN|CH,PT60M,239.02,EUR
              07/01/2022 21:00 - 07/01/2022 22:00,BZN|CH,PT60M,223.79,EUR
              07/01/2022 22:00 - 07/01/2022 23:00,BZN|CH,PT60M,213.85,EUR
              07/01/2022 23:00 - 08/01/2022 00:00,BZN|CH,PT60M,211.64,EUR
              08/01/2022 00:00 - 08/01/2022 01:00,BZN|CH,PT60M,215.25,EUR
